id,gebjahr,berufstaetig,arbeitsstd,arztbes,rauch,gro,gew,schulabschluss,schulabschluss_v,schulabschluss_m,hoe_abschluss,hoe_abschluss_v,hoe_abschluss_m,netto,zufr,alter,frau
1359,1967,NICHT ERWERBSTAETIG,,1,ja,162,79,MITTLERE REIFE,MITTLERE REIFE,HOCHSCHULREIFE,LEHRE,"GEWERBL.,LANDW.LEHRE","MEISTER, TECHNIKER",475,10,47,weiblich
2455,1964,HAUPTBERUFL.HALBTAGS,30,1,nein,165,59,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"MEISTER, TECHNIKER",KAUFMAENNISCHE LEHRE,780,9,50,weiblich
200,1980,NICHT ERWERBSTAETIG,,3,nein,166,86,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULREIFE,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,HOCHSCHULABSCHLUSS,,8,34,männlich
1280,1968,HAUPTBERUFL.GANZTAGS,50,0,nein,180,95,FACHHOCHSCHULREIFE,MITTLERE REIFE,MITTLERE REIFE,FACHHOCHSCHULABSCHL.,KAUFMAENNISCHE LEHRE,KAUFMAENNISCHE LEHRE,,8,46,männlich
2384,1995,NICHT ERWERBSTAETIG,,1,nein,161,46,NOCH SCHUELER,MITTLERE REIFE,"VOLKS-,HAUPTSCHULE",NOCH SCHUELER,"GEWERBL.,LANDW.LEHRE","GEWERBL.,LANDW.LEHRE",,7,19,weiblich
2258,1992,HAUPTBERUFL.HALBTAGS,13,0,nein,187,93,FACHHOCHSCHULREIFE,,,KEIN ABSCHLUSS,,,,9,22,männlich
837,1967,HAUPTBERUFL.GANZTAGS,47,0,nein,194,96,ANDERER ABSCHLUSS,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","MEISTER, TECHNIKER","GEWERBL.,LANDW.LEHRE",KEIN ABSCHLUSS,4000,8,47,männlich
1343,1989,NEBENHER BERUFSTAE.,,1,nein,173,70,"VOLKS-,HAUPTSCHULE",OHNE ABSCHLUSS,OHNE ABSCHLUSS,KEIN ABSCHLUSS,KEIN ABSCHLUSS,KAUFMAENNISCHE LEHRE,400,9,25,männlich
3129,1960,HAUPTBERUFL.GANZTAGS,37,0,nein,175,85,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",LEHRE,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,1100,8,54,männlich
2961,1952,HAUPTBERUFL.HALBTAGS,30,4,nein,170,110,FACHHOCHSCHULREIFE,"VOLKS-,HAUPTSCHULE","VOLKS-,HAUPTSCHULE",HOCHSCHULABSCHLUSS,"GEWERBL.,LANDW.LEHRE",KAUFMAENNISCHE LEHRE,2000,8,62,weiblich
